theta_rad,theta_deg,density
2.0077847786100183,115.03759398496241,0.005361290542467125
2.0235321102069594,115.93984962406014,0.0051062088387790906
2.0392794418039006,116.84210526315789,0.00486507294200896
2.055026773400842,117.74436090225562,0.004637104703137724
2.070774104997784,118.64661654135341,0.004421568725017297
2.086521436594725,119.54887218045114,0.004217770204282621
2.1022687681916663,120.45112781954889,0.004025052861023347
2.1180160997886075,121.35338345864662,0.0038427969549099626
2.1337634313855487,122.25563909774436,0.0036704173862206423
2.14951076298249,123.1578947368421,0.0035073618800040077
2.165258094579431,124.06015037593983,0.003353109251435311
2.181005426176373,124.96240601503762,0.003207167750276662
2.1967527577733144,125.86466165413536,0.0030690734822331586
2.2125000893702556,126.76691729323309,0.0029383889049029817
2.2282474209671967,127.66917293233084,0.0028147013959491187
2.243994752564138,128.57142857142858,0.0026976218910697808
2.259742084161079,129.4736842105263,0.0025867835893128768
2.2754894157580203,130.37593984962405,0.002481840723264105
2.2912367473549624,131.27819548872182,0.0023824673916370324
2.3069840789519036,132.18045112781957,0.0022883564518048323
2.322731410548845,133.0827067669173,0.002199218469835767
2.338478742145786,133.98496240601506,0.002114780725626564
2.354226073742727,134.88721804511277,0.0020347862707679057
2.3699734053396684,135.78947368421052,0.001958993036823504
2.3857207369366096,136.69172932330827,0.0018871729917572474
2.4014680685335517,137.59398496240604,0.0018191113423008185
2.417215400130493,138.49624060150379,0.001754605780115986
2.432962731727434,139.39849624060153,0.001693465769670674
2.4487100633243752,140.30075187969925,0.0016355118758153364
2.4644573949213164,141.203007518797,0.001580575129115046
2.4802047265182576,142.10526315789474,0.0015284964270629944
2.495952058115199,143.00751879699246,0.0014791259693717966
2.51169938971214,143.9097744360902,0.0014323227256100115
2.527446721309082,144.812030075188,0.0013879539335219903
2.5431940529060233,145.71428571428572,0.0013458946264393494
2.5589413845029645,146.61654135338347,0.0013060271882616508
2.5746887160999057,147.5187969924812,0.0012682409345521474
2.590436047696847,148.42105263157893,0.0012324317183612884
2.606183379293788,149.32330827067668,0.0011985015594561078
2.6219307108907293,150.22556390977442,0.0011663582956974415
2.6376780424876713,151.1278195488722,0.0011359152553689165
2.6534253740846125,152.03007518796994,0.001107090949321928
2.6691727056815537,152.9323308270677,0.001079808781859104
2.684920037278495,153.8345864661654,0.0010539967793352374
2.700667368875436,154.73684210526315,0.0010295873355090355
2.7164147004723773,155.6390977443609,0.0010065169727315937
2.7321620320693185,156.54135338345864,0.0009847261181079872
2.7479093636662606,157.44360902255642,0.000964158893816982
2.763656695263202,158.34586466165416,0.0009447629208205482
2.779404026860143,159.24812030075188,0.0009264891352396163
2.795151358457084,160.15037593984962,0.0009092916167155435
2.8108986900540254,161.05263157894737,0.0008931274281178709
2.8266460216509666,161.95488721804512,0.0008779564659984534
2.8423933532479078,162.85714285714283,0.0008637413212298062
2.85814068484485,163.75939849624064,0.0008504471493016955
2.873888016441791,164.66165413533835,0.0008380415497846725
2.8896353480387322,165.5639097744361,0.0008264944545023796
2.9053826796356734,166.46616541353384,0.0008157780239863149
2.9211300112326146,167.3684210526316,0.0008058665518171361
2.936877342829556,168.2706766917293,0.0007967363764858426
2.952624674426497,169.17293233082705,0.000788365800436187
2.968372006023439,170.07518796992483,0.0007807350159766229
2.9841193376203803,170.97744360902257,0.0007738260377759783
2.9998666692173215,171.87969924812032,0.0007676226416820207
3.0156140008142627,172.78195488721806,0.0007621103096261354
3.031361332411204,173.68421052631578,0.0007572761804006138
3.047108664008145,174.58646616541353,0.0007531090061175732
3.0628559956050863,175.48872180451127,0.0007495991141803952
3.0786033272020283,176.39097744360905,0.0007467383746198581
3.0943506587989695,177.2932330827068,0.0007445201726678786
3.1100979903959107,178.19548872180454,0.0007429393864621034
3.125845321992852,179.09774436090225,0.0007419923697945004
3.141592653589793,180.0,0.0007416769398367381
