group,x_m,y_m
Group 1,-65.69671469462749,-46.52791123175382
Group 1,-60.524069806650715,-46.52791123175382
Group 1,-53.93311906225415,-47.19508079213719
Group 1,-47.759317099171184,-47.639860498352114
Group 1,-42.33638294239298,-48.751809764950416
Group 1,-37.1637380544162,-48.30703005873549
Group 1,-30.82307657882106,-49.19658947116534
Group 1,-25.733861447100367,-48.86300469132732
Group 1,-19.22634045895989,-48.30703005873549
Group 1,-13.88683605843777,-48.64061483857351
Group 1,-8.964480439262415,-46.75030108592226
Group 1,-3.3746867699720413,-45.304767038778614
Group 1,1.7145283617818219,-44.85998733256369
Group 1,7.3877517872951115,-44.41520762564144
Group 1,12.72725618778406,-47.30627571851409
Group 1,18.40047961336369,-47.19508079213719
Group 1,24.49085182019057,-45.63835181861664
Group 1,29.99721573319169,-45.63835181861664
Group 1,42.42824941561371,-43.74803806596539
Group 1,47.85118357239192,-42.63608879936709
Group 1,53.357547485393034,-44.41520762564144
Group 1,57.028456760760285,-49.30778439824957
Group 1,60.94965530486262,-52.532437270960244
Group 1,72.46296166846771,-55.53470029020979
Group 1,76.96816850639581,-58.20337852962132
Group 1,82.39110266314084,-59.31532779621962
Group 1,87.73060706362979,-60.53847198919482
Group 1,90.90093780142736,-65.76463354093364
Group 1,93.65411975797767,-71.7691595808474
Group 1,96.99131000825425,-76.43934649928707
Group 1,101.99709538375203,-74.66022767301273
Group 1,106.91945100296054,-72.54752406690035
Group 1,112.42581491599483,-70.87960016771022
Group 1,117.6818895602277,-68.98928641435165
Group 1,123.27168322951808,-65.98702339439477
Group 1,129.02833641128746,-63.763124861905496
Group 1,134.45127056806564,-61.65042125579312
Group 1,139.1233369185059,-59.426522722596516
Group 1,144.46284131902803,-58.648158236543566
Group 1,149.46862669449266,-56.64664955680809
Group 1,152.47209791977804,-61.87281110925424
Group 1,153.72354426365249,-67.0989726617004
Group 1,155.39213938880735,-72.21393928706232
Group 1,148.88461840066688,-82.5550674648704
Group 1,159.98077598299153,-75.10500737922766
Group 1,169.57519795264034,-75.7721769389037
Group 1,174.16383454682452,-69.32287119418967
Group 1,179.58676870360273,-69.7676509004046
Group 1,184.425694566522,-67.43255744153842
Group 1,189.01433116073935,-65.31985383471873
Group 1,187.01201701056013,-59.31532779621962
Group 1,178.00160333470393,-60.872056769032845
Group 1,183.59139700396113,-56.75784448389231
Group 1,189.2646204295076,-55.75709014296359
Group 1,184.17540529775374,-56.201869849885846
Group 1,181.7559423662941,-61.094446621786645
Group 1,181.25536382872443,-67.87733714775335
Group 1,178.9193306535209,-73.99305811333667
Group 1,181.58908285378195,-65.87582846801787
Group 1,184.258835054043,-58.20337852962132
Group 1,181.50565309749268,-62.98476037514522
Group 1,185.6771409104296,-66.54299802840124
Group 1,181.3387935850137,-59.87130242951877
Group 1,182.59023992885494,-54.75633580344952
Group 1,184.67598383532342,-49.974953957925614
Group 1,187.26230627932839,-45.304767038778614
Group 1,191.35036433594288,-40.96816489946964
Group 1,195.52185214884665,-37.74351202746629
Group 1,200.69449703682344,-34.74124900750941
Group 1,213.8763985255834,-26.62401936219061
Group 1,212.04094388791634,-32.07257076809788
Group 1,216.62958048210052,-28.514333115549185
Group 1,221.55193610130905,-25.067290389377384
Group 1,226.724580989319,-23.844146196402182
Group 1,229.72805221457125,-10.500754999344553
Group 1,236.73615174024823,-17.839620157195757
Group 1,202.9471004557709,-35.408418567185464
Group 1,235.15098637134943,3.9545854643113776
Group 1,235.06755661509337,11.627035403415253
Group 1,229.81148197082732,10.181501356271605
Group 1,-34.49398585418831,131.82875110614012
Group 1,-38.33175464203456,128.2705134535914
Group 2,-26.15101022838079,137.61088729188543
Group 2,-24.06526632191233,131.05038661937985
Group 2,-22.563530709302796,126.26900477314862
Group 2,-27.068737547230896,130.16082720624266
Group 2,-21.478943877940523,132.49592066581616
Group 2,-36.746589273135775,195.54344407359338
Group 2,-33.65968829159429,191.2068419342844
Group 2,-66.6144420134776,-126.14347870929932
Group 2,-69.45105372621765,-121.91807149707456
Group 2,-72.70481422030448,-117.6926642841425
Group 2,-74.28997958920327,-111.79933317202028
Group 2,-71.53679763268612,-106.46197669319723
Group 2,-67.28188006352627,-102.45895933443362
Group 2,-62.693243469308925,-98.78952675480068
Group 2,-57.93774736261257,-96.45443329522718
Group 2,-53.0988214996933,-93.22978042251651
Group 2,-55.017705893583255,-88.00361887007035
Group 2,-57.27030931256389,-83.33343195163067
Group 2,-63.02696249436644,-83.33343195163067
Group 2,-67.03159079475802,-79.2192196650755
Group 2,-69.28419421373866,-74.3266428931747
Group 2,-64.36183859449696,-75.6609820125268
Group 2,-60.35721029410537,-79.55280444491353
Group 2,-58.35489614392616,-84.77896599735968
Group 2,-55.85200345617728,-89.56034784288359
Group 2,-59.02233419397484,-94.3417296891148
Group 2,-63.694400544448285,-97.56638256182548
Group 2,-68.6167561636568,-100.23506080194433
Group 2,-73.28882251406391,-102.12537455459558
Group 2,-76.70944252062974,-106.57317162028146
Group 2,-76.79287227691898,-111.79933317202028
Group 2,-78.54489715836311,-117.13668965155067
Group 2,-80.79750057731057,-121.91807149707456
Group 2,-83.55068253382773,-127.14423304952072
Group 2,-87.47188107793005,-131.36964026174547
Group 2,-92.31080694091567,-134.81668298791726
Group 2,-97.40002207260319,-137.81894600716683
Group 2,-102.23894793555563,-139.9316496132792
Group 2,-106.91101428602906,-141.82196336593046
Group 2,-111.66651039272541,-143.82347204637324
